"filename", "language", "JSON", "JavaScript", "Markdown", "PlantUML", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\Readme.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\package-lock.json", "JSON", 27806, 0, 0, 0, 0, 0, 0, 0, 1, 27807
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\API.js", "JavaScript", 0, 1100, 0, 0, 0, 0, 0, 41, 49, 1190
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\AcceptCancelRejectIO.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 12, 146
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\AcceptRO.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 0, 10, 123
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 84, 0, 0, 19, 103
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\App.js", "JavaScript", 0, 1954, 0, 0, 0, 0, 0, 62, 127, 2143
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\Clerk.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\Customer.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\DeleteItem.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 11, 115
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\DeleteTestDescriptor.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 11, 115
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\DeliverIO.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 2, 15, 169
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\DeliverRO.js", "JavaScript", 0, 105, 0, 0, 0, 0, 0, 0, 10, 115
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\DeliveryEmployee.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\EditDeleteBarcodePosition.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 0, 11, 147
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\EditDeleteUser.js", "JavaScript", 0, 174, 0, 0, 0, 0, 0, 0, 14, 188
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\EditPositionDeleteSKU.js", "JavaScript", 0, 233, 0, 0, 0, 0, 0, 4, 20, 257
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\Login.css", "CSS", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\Login.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 6, 9, 102
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\Manager.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 9, 143
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NavbarCustom.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 0, 17, 127
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NewClientForm.css", "CSS", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NewEditItem.js", "JavaScript", 0, 214, 0, 0, 0, 0, 0, 0, 20, 234
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NewEditSKU.js", "JavaScript", 0, 253, 0, 0, 0, 0, 0, 0, 16, 269
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NewEditTestDescriptor.js", "JavaScript", 0, 212, 0, 0, 0, 0, 0, 0, 17, 229
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NewInternalOrder.js", "JavaScript", 0, 192, 0, 0, 0, 0, 0, 1, 31, 224
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NewPosition.js", "JavaScript", 0, 318, 0, 0, 0, 0, 0, 0, 15, 333
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NewRestockOrder.js", "JavaScript", 0, 282, 0, 0, 0, 0, 0, 2, 37, 321
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NewReturnOrder.js", "JavaScript", 0, 189, 0, 0, 0, 0, 0, 0, 32, 221
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\NewUserForm.js", "JavaScript", 0, 164, 0, 0, 0, 0, 0, 0, 13, 177
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\QualityEmployee.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\ShowItem.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 11, 103
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\StockRO.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 12, 129
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\Supplier.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\TestRO.js", "JavaScript", 0, 187, 0, 0, 0, 0, 0, 0, 24, 211
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\client\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-InternalOrder.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 12, 59
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-Item.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 12, 64
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-Position.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 5, 11, 70
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-RestockOrder.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 17, 92
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-ReturnOrder.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 16, 93
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-SKUitems.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 4, 10, 67
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-SKUs.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 8, 54
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-TestDescriptor.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 5, 8, 69
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-TestResult.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 4, 11, 77
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\crud\test-CRUD-User.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\testEzWhAPI.js", "JavaScript", 0, 154, 0, 0, 0, 0, 0, 0, 20, 174
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-id.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 20, 101
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-internalorder.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 8, 17, 166
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-items.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 4, 18, 171
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-positions.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 6, 11, 116
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-restockorder.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 8, 25, 296
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-returnorder.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 16, 15, 160
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-sku.js", "JavaScript", 0, 189, 0, 0, 0, 0, 0, 6, 21, 216
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-skuitems.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 29, 20, 216
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-testdescriptor.js", "JavaScript", 0, 187, 0, 0, 0, 0, 0, 7, 16, 210
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-testresult.js", "JavaScript", 0, 183, 0, 0, 0, 0, 0, 9, 19, 211
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\acceptanceTest\utils-users.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 18, 25, 171
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\index.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 2, 13, 56
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\internalOrder\controller.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 10, 33, 172
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\internalOrder\dao.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 30, 120
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\internalOrder\error.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\internalOrder\internalOrder.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 10, 41
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\internalOrder\routes.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\item\controller.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 1, 12, 61
