"filename", "language", "JSON", "JavaScript", "Markdown", "PlantUML", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\item\dao.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 1, 10, 41
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\item\error.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\item\item.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\item\routes.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 7, 73
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\position\controller.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 1, 18, 85
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\position\dao.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 1, 13, 51
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\position\error.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 11, 49
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\position\position.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\position\routes.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 9, 89
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\restock_order\controller.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 8, 39, 172
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\restock_order\dao.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 4, 22, 93
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\restock_order\error.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 13, 58
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\restock_order\product.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\restock_order\restockOrder.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\restock_order\routes.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 11, 101
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\returnOrder\controller.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 9, 19, 105
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\returnOrder\dao.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 17, 58
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\returnOrder\error.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\returnOrder\products.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\returnOrder\returnOrder.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\returnOrder\routes.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 7, 57
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\skuItem\SKUItem.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\skuItem\controller.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 3, 27, 120
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\skuItem\dao.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 1, 17, 67
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\skuItem\error.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\skuItem\routes.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 10, 79
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\sku\controller.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 2, 19, 96
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\sku\dao.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 1, 25, 87
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\sku\error.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\sku\routes.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 8, 86
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\sku\sku.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_descriptor\controller.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 1, 13, 69
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_descriptor\dao.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 1, 18, 67
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_descriptor\error.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_descriptor\routes.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 8, 70
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_descriptor\testDescriptor.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_result\controller.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 4, 19, 82
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_result\dao.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 2, 13, 52
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_result\error.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_result\routes.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 8, 75
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\test_result\testResult.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\user\controller.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 1, 33, 133
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\user\dao.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 2, 17, 63
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\user\error.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 15, 66
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\user\routes.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 14, 139
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\components\user\user.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 23, 99
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\helper.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 1, 8, 30
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\api\routes.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\db\AppDAO.js", "JavaScript", 0, 202, 0, 0, 0, 0, 0, 2, 31, 235
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\miao.plantuml", "PlantUML", 0, 0, 0, 657, 0, 0, 0, 5, 202, 864
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\package-lock.json", "JSON", 14565, 0, 0, 0, 0, 0, 0, 0, 1, 14566
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\server.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\test\internalOrderRouter.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 3, 33, 181
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\test\restockOrderRouter.js", "JavaScript", 0, 220, 0, 0, 0, 0, 0, 4, 47, 271
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\test\scenarios.js", "JavaScript", 0, 824, 0, 0, 0, 0, 0, 40, 181, 1045
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\integration_test\internalOrder.test.js", "JavaScript", 0, 224, 0, 0, 0, 0, 0, 3, 46, 273
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\integration_test\item.test.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 34, 161
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\integration_test\position.test.js", "JavaScript", 0, 165, 0, 0, 0, 0, 0, 0, 45, 210
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\integration_test\restockOrder.test.js", "JavaScript", 0, 214, 0, 0, 0, 0, 0, 4, 36, 254
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\integration_test\sku.test.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 32, 157
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\integration_test\skuItem.test.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 0, 51, 201
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\integration_test\testDescriptor.test.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 0, 40, 240
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\integration_test\testResult.test.js", "JavaScript", 0, 197, 0, 0, 0, 0, 0, 0, 43, 240
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\integration_test\user.test.js", "JavaScript", 0, 223, 0, 0, 0, 0, 0, 0, 51, 274
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\internalOrder.test.js", "JavaScript", 0, 147, 0, 0, 0, 0, 0, 3, 35, 185
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\restockOrder.test.js", "JavaScript", 0, 171, 0, 0, 0, 0, 0, 4, 39, 214
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\sku.test.js", "JavaScript", 0, 225, 0, 0, 0, 0, 0, 1, 53, 279
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\skuItem.test.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 32, 83
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\testDescriptor.test.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 0, 33, 191
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\testResult.test.js", "JavaScript", 0, 164, 0, 0, 0, 0, 0, 1, 33, 198
"c:\Users\User\Desktop\Tesla\Relative 3.0\Software Engineering\Project\EzWh\EzWh\code\server\unit_test\user.test.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 37, 94
"Total", "-", 42483, 16231, 68, 657, 20, 114, 1, 403, 2851, 62828